Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Cost_Price,Discount,Profit
1130,2020-01-01,9423,Male,39,Electronics,5,2773.0,13879.69,2073.09,12,3514.25
1100,2020-01-02,1986,Male,30,Beauty,4,3371.0,13489.58,2653.51,12,2875.54
1062,2020-01-02,6947,Female,58,Electronics,8,2827.0,22368.22,2076.01,10,5760.12
1346,2020-01-03,1128,Male,25,Sports,2,1616.0,3227.66,1184.32,18,859.02
1385,2020-01-06,4247,Female,19,Clothing,3,2517.0,7881.04,2030.32,10,1790.1
1707,2020-01-07,8994,Male,24,Beauty,5,1222.0,6193.03,892.97,13,1728.2
1718,2020-01-08,1492,Male,48,Clothing,8,1474.0,12288.79,1078.52,13,3660.65
1800,2020-01-08,8881,Male,64,Beauty,6,3498.0,21197.33,2714.56,16,4909.95
1918,2020-01-08,7004,Male,38,Sports,7,2408.0,16732.17,1902.03,11,3417.99
1895,2020-01-09,3920,Male,43,Beauty,4,2513.0,10234.78,1956.54,14,2408.63
1215,2020-01-10,9146,Male,46,Beauty,7,3428.0,24841.57,2804.42,15,5210.63
1693,2020-01-12,3030,Female,35,Clothing,2,1948.0,3937.83,1551.96,12,833.91
1006,2020-01-13,3263,Female,49,Sports,5,2185.0,10710.37,1784.83,20,1786.21
1244,2020-01-14,5511,Male,43,Beauty,4,3141.0,12993.14,2374.42,15,3495.46
1074,2020-01-14,7502,Male,42,Clothing,5,2104.0,10843.97,1571.28,14,2987.57
1830,2020-01-15,7385,Male,37,Home,7,2777.0,19057.51,2039.04,20,4784.24
1196,2020-01-16,5801,Female,47,Beauty,3,2921.0,9188.56,2261.5,12,2404.06
1796,2020-01-17,1942,Male,19,Home,7,2620.0,18527.56,1972.27,16,4721.65
1261,2020-01-17,1550,Female,39,Sports,3,1525.0,4656.09,1235.03,11,951.0
1373,2020-01-19,5955,Male,49,Clothing,8,3481.0,27723.55,2638.55,11,6615.12
1987,2020-01-20,2536,Female,52,Sports,7,1829.0,13065.95,1397.96,11,3280.23
1019,2020-01-22,8034,Male,29,Home,4,3015.0,12403.72,2229.49,17,3485.77
1272,2020-01-22,5479,Male,29,Beauty,3,2877.0,8803.81,2078.16,11,2569.33
1789,2020-01-23,5956,Male,53,Electronics,4,1515.0,6312.38,1151.01,11,1708.35
1145,2020-01-25,9262,Male,39,Home,4,1307.0,5254.36,996.28,15,1269.25
1588,2020-01-26,5288,Male,25,Home,3,2693.0,8328.19,1967.43,19,2425.91
1318,2020-01-27,9936,Male,30,Electronics,4,2486.0,10188.11,1844.18,14,2811.38
1174,2020-01-31,3492,Female,37,Clothing,5,2221.0,11449.78,1700.48,14,2947.35
1546,2020-02-01,3413,Female,33,Sports,3,2944.0,9246.82,2201.16,19,2643.36
1010,2020-02-03,9339,Female,39,Home,8,1965.0,16407.87,1424.78,12,5009.65
1963,2020-02-04,6478,Female,44,Sports,2,3477.0,6840.1,2612.98,19,1614.14
1295,2020-02-04,5278,Female,18,Electronics,5,1699.0,8565.65,1294.4,19,2093.64
1103,2020-02-04,3025,Male,59,Electronics,2,1862.0,3781.75,1481.44,11,818.87
1313,2020-02-05,1632,Male,32,Electronics,3,2911.0,8706.32,2227.17,10,2024.8
1127,2020-02-05,1304,Female,40,Home,8,3022.0,24597.92,2251.68,17,6584.51
1915,2020-02-05,3337,Female,37,Electronics,5,2663.0,13530.72,2082.1,20,3120.19
1276,2020-02-05,1107,Female,33,Beauty,7,1270.0,8780.66,1026.66,13,1594.04
1014,2020-02-07,8643,Male,46,Beauty,8,3235.0,26905.46,2580.57,10,6260.91
1177,2020-02-11,9582,Male,30,Electronics,5,2480.0,12613.11,2024.32,17,2491.51
1425,2020-02-12,3372,Male,44,Electronics,2,2556.0,5320.55,2094.3,14,1131.94
1123,2020-02-14,1367,Female,63,Clothing,5,2813.0,14211.46,2271.94,20,2851.77
1834,2020-02-15,7051,Male,37,Sports,5,1823.0,9425.73,1339.49,15,2728.28
